구매일,상품명,카테고리,판매처,판매지역,수량,가격,구매자수
20251208,Airani Iofifteen Palette,Goods,Online Store,Bali,8,36000,8
20251207,Kureiji Ollie Ribbon,Accessory,Online Store,Seoul,25,8000,22
20251206,Anya Melfissa Dagger,Goods,Collab Cafe,Busan,4,42000,4
20251205,Vestia Zeta Folder,Book,Online Store,Tokyo,50,5000,45
20251204,Kaela Kovalskia Hammer,Goods,Pop-up Store,Seoul,2,55000,2
20251203,Ushio Noa Notebook,Book,Online Store,Daejeon,18,7000,15
20251202,Shiori Novella Bookmark,Accessory,Online Store,Seoul,85,3000,70
20251201,Koseki Bijou Pebble Case,Accessory,Collab Cafe,Ulsan,14,24000,12
20251130,Nerissa Ravencroft Pick,Music,Online Store,Tokyo,22,15000,20
20251129,Fuwawa Abyssgard Plush,Apparel,Pop-up Store,Seoul,45,45000,40
20251128,Mococo Abyssgard Plush,Apparel,Pop-up Store,Seoul,43,45000,38
20251127,Gawr Gura Hoodie,Apparel,Online Store,LA,12,89000,11
20251126,Suisei Blue Shoes,Apparel,Online Store,Seoul,3,120000,3
20251125,Pekora Carrot Pen,Goods,Collab Cafe,Daegu,60,4000,52
20251124,Ina Tentacle Slippers,Apparel,Online Store,Seoul,14,38000,14
20251123,Kiara Fried Chicken Box,Goods,Pop-up Store,Jeju,30,25000,28
20251122,Calliope Wine Glass,Goods,Online Store,Tokyo,8,55000,8
20251121,Amelia Detective Badge,Accessory,Online Store,Seoul,45,12000,40
20251120,Kronii Hourglass,Goods,Collab Cafe,Busan,4,88000,4
20251119,Mumei Feather Pen,Goods,Online Store,Seoul,18,15000,16
20251118,Fauna Nature Pot,Goods,Pop-up Store,London,12,28000,12
20251117,Baelz Chaos Dice,Goods,Online Store,Seoul,55,5000,48
20251116,Sana Space Blanket,Apparel,Online Store,Tokyo,5,75000,5
20251115,Okayu Rice Ball Bag,Apparel,Pop-up Store,Osaka,20,32000,18
20251114,Korone Boxing Gloves,Goods,Online Store,Seoul,6,65000,6
20251113,Mio Tarot Card Set,Goods,Collab Cafe,Busan,14,45000,12
20251112,Fubuki Corn Snack,Goods,Online Store,Seoul,120,2500,95
20251111,Matsuri Matsuri Lantern,Goods,Pop-up Store,Nagoya,15,22000,14
20251110,Aqua Gaming Chair,Furniture,Online Store,Seoul,1,350000,1
20251109,Shion Magic Wand,Goods,Online Store,Tokyo,6,48000,6
20251108,Ayame Oni Mask,Accessory,Collab Cafe,Kyoto,14,18000,12
20251107,Choco Cooking Apron,Apparel,Online Store,Seoul,10,35000,10
20251106,Subaru Whistle,Goods,Pop-up Store,Busan,35,9000,32
20251105,Rushia Butterfly Pin,Accessory,Online Store,Seoul,18,25000,15
20251104,Pekora Don-chan Plush,Apparel,Online Store,Tokyo,8,42000,8
20251103,Flare Fire Arrow Pen,Goods,Collab Cafe,Seoul,24,12000,20
20251102,Noel Knight Cup,Goods,Online Store,Saitama,10,38000,10
20251101,Marine Pirate Hat,Apparel,Pop-up Store,Seoul,28,55000,25
20251031,Kanata Grip Strength Kit,Goods,Online Store,Tokyo,12,15000,12
20251030,Watame Keyboard,Electronic,Online Store,Seoul,4,185000,4
20251029,Towa Devil Wings,Apparel,Collab Cafe,Busan,10,65000,10
20251028,Luna Candy Pillow,Apparel,Online Store,Osaka,18,29000,16
20251027,Lamy Snow Glass,Goods,Pop-up Store,Seoul,14,42000,14
20251026,Nene Beetle Cage,Goods,Online Store,Tokyo,5,18000,5
20251025,Botan Rifle Umbrella,Goods,Online Store,Seoul,11,48000,11
20251024,Polka Circus Ticket,Goods,Collab Cafe,Busan,40,5000,35
20251023,Laplus Crow Plush,Apparel,Online Store,Seoul,15,39000,14
20251022,Lui Hawk Mirror,Accessory,Pop-up Store,Tokyo,14,15000,12
20251021,Koyori Test Tube Set,Goods,Online Store,Seoul,8,32000,8
20251020,Chloe Orca Towel,Apparel,Collab Cafe,Jeju,22,18000,20
20251019,Iroha Eggplant Plush,Apparel,Online Store,Tokyo,10,28000,10
20251018,Risu Nutcracker,Goods,Pop-up Store,Seoul,7,35000,7
20251017,Moona Moon Lamp,Electronic,Online Store,Jakarta,4,55000,4
20251016,Iofi Paint Brush,Goods,Online Store,Seoul,35,6000,30
20251015,Ollie Sword Prop,Goods,Collab Cafe,Busan,2,75000,2
20251014,Anya Kris Dagger,Goods,Online Store,Tokyo,6,45000,6
20251013,Reine Peacock Fan,Accessory,Pop-up Store,Seoul,14,22000,12
20251012,Zeta Secret File,Book,Online Store,Seoul,20,12000,20
20251011,Kaela Blacksmith Apron,Apparel,Collab Cafe,Incheon,5,39000,5
20251010,Kobo Rain Blue CD,Music,Online Store,Jakarta,35,18000,30
20251009,Shiori Gothic Pen,Goods,Pop-up Store,Tokyo,22,15000,20
20251008,Bijou Gemstone Set,Goods,Online Store,Seoul,4,68000,4
20251007,Nerissa Raven Mask,Accessory,Collab Cafe,Busan,12,25000,12
